application_id,student_id,role_id,application_date,status
A000171,S0127,R00609,2025-09-11,Offer Declined
A000172,S0257,R00158,2025-12-01,Interview Scheduled
A000173,S0276,R00772,2025-08-03,Interview Scheduled
A000174,S0238,R00781,2025-08-03,Shortlisted
A000175,S0247,R00216,2025-12-27,Shortlisted
A000176,S0109,R00470,2025-09-16,Offer Declined
A000177,S0046,R00316,2026-01-04,Offer Accepted
A000178,S0108,R00490,2026-01-31,Interview Scheduled
A000179,S0134,R00793,2026-02-12,Interview Scheduled
A000180,S0175,R00165,2025-10-04,Interview Scheduled
A000181,S0002,R00489,2026-01-21,Offer Accepted
A000182,S0251,R00608,2025-10-22,Rejected
A000183,S0228,R00539,2025-11-14,Shortlisted
A000184,S0091,R00672,2026-01-19,Applied
A000185,S0228,R00008,2026-01-26,Shortlisted
A000186,S0184,R00148,2025-10-23,Shortlisted
A000187,S0253,R00785,2025-12-27,Shortlisted
A000188,S0108,R00005,2025-12-21,Shortlisted
A000189,S0292,R00400,2025-12-11,Interview Scheduled
A000190,S0309,R00452,2025-09-03,Selected
A000191,S0292,R00684,2025-10-01,Shortlisted
A000192,S0012,R00805,2025-12-01,Shortlisted
A000193,S0233,R00002,2025-09-10,Shortlisted
A000194,S0166,R00346,2025-12-06,Interview Scheduled
A000195,S0254,R00291,2026-01-14,Applied
A000196,S0273,R00360,2025-12-24,Interview Scheduled
A000197,S0013,R00803,2025-09-11,Rejected
A000198,S0169,R00249,2025-11-02,Selected
A000199,S0013,R00476,2025-10-10,Interview Scheduled
A000200,S0243,R00187,2026-01-14,Offer Accepted
A000201,S0308,R00496,2025-10-02,Shortlisted
A000202,S0032,R00737,2025-08-24,Rejected
A000203,S0227,R00042,2025-11-12,Shortlisted
A000204,S0287,R00041,2026-01-01,Interview Scheduled
A000205,S0120,R00694,2025-10-27,Shortlisted
A000206,S0220,R00704,2026-01-05,Interview Scheduled
A000207,S0233,R00415,2025-10-30,Selected
A000208,S0035,R00477,2025-10-29,Applied
A000209,S0216,R00386,2025-12-04,Selected
A000210,S0031,R00101,2026-01-01,Shortlisted
A000211,S0160,R00468,2025-10-18,Selected
A000212,S0176,R00230,2025-12-24,Interview Scheduled
A000213,S0030,R00187,2025-10-07,Interview Scheduled
A000214,S0101,R00791,2025-09-27,Interview Scheduled
A000215,S0244,R00558,2025-12-29,Shortlisted
A000216,S0290,R00782,2025-08-31,Interview Scheduled
A000217,S0022,R00397,2025-10-24,Shortlisted
A000218,S0110,R00188,2025-12-21,Shortlisted
A000219,S0193,R00159,2025-09-29,Rejected
A000220,S0285,R00089,2026-01-24,Interview Scheduled
A000221,S0185,R00033,2025-09-14,Interview Scheduled
A000222,S0135,R00577,2025-09-11,Shortlisted
A000223,S0091,R00675,2025-11-28,Offer Declined
A000224,S0057,R00273,2025-12-21,Interview Scheduled
A000225,S0088,R00761,2025-09-15,Rejected
A000226,S0074,R00707,2025-11-17,Interview Scheduled
A000227,S0192,R00255,2025-11-28,Shortlisted
A000228,S0301,R00146,2025-11-05,Applied
A000229,S0144,R00699,2025-10-04,Shortlisted
A000230,S0042,R00627,2025-10-18,Interview Scheduled
A000231,S0261,R00300,2025-12-26,Offer Accepted
A000232,S0254,R00379,2025-12-21,Shortlisted
A000233,S0107,R00172,2025-11-01,Rejected
A000234,S0194,R00458,2025-09-21,Interview Scheduled
A000235,S0044,R00234,2025-10-12,Interview Scheduled
A000236,S0173,R00342,2025-10-19,Interview Scheduled
A000237,S0196,R00020,2025-09-29,Interview Scheduled
A000238,S0043,R00233,2025-12-02,Shortlisted
A000239,S0117,R00076,2025-11-12,Offer Accepted
A000240,S0129,R00241,2025-10-01,Shortlisted
A000241,S0310,R00809,2025-12-09,Shortlisted
A000242,S0134,R00007,2026-01-22,Rejected
A000243,S0297,R00605,2025-12-20,Shortlisted
A000244,S0117,R00178,2025-12-14,Shortlisted
A000245,S0283,R00604,2025-09-24,Interview Scheduled
A000246,S0097,R00344,2025-11-03,Interview Scheduled
A000247,S0286,R00025,2025-08-18,Applied
A000248,S0182,R00274,2025-12-13,Shortlisted
A000249,S0276,R00239,2026-01-06,Shortlisted
A000250,S0079,R00792,2026-01-25,Shortlisted
A000251,S0294,R00696,2025-09-05,Interview Scheduled
A000252,S0198,R00145,2025-09-13,Rejected
A000253,S0054,R00542,2025-09-10,Rejected
A000254,S0036,R00732,2025-11-28,Interview Scheduled
A000255,S0036,R00365,2025-10-28,Offer Accepted
A000256,S0057,R00102,2026-01-25,Shortlisted
A000257,S0106,R00102,2025-12-22,Shortlisted
A000258,S0082,R00486,2025-12-28,Shortlisted
A000259,S0235,R00218,2025-12-10,Selected
A000260,S0310,R00647,2025-11-05,Shortlisted
A000261,S0295,R00031,2025-10-23,Shortlisted
A000262,S0153,R00314,2025-10-10,Shortlisted
A000263,S0222,R00367,2025-12-04,Offer Accepted
A000264,S0023,R00188,2025-12-08,Interview Scheduled
A000265,S0035,R00561,2025-10-30,Interview Scheduled
A000266,S0284,R00095,2026-01-03,Shortlisted
A000267,S0167,R00329,2025-10-12,Interview Scheduled
A000268,S0038,R00510,2025-12-11,Shortlisted
A000269,S0100,R00317,2025-11-30,Offer Declined
A000270,S0238,R00389,2025-11-18,Shortlisted
A000271,S0225,R00110,2025-12-14,Shortlisted
A000272,S0311,R00078,2025-09-28,Interview Scheduled
A000273,S0006,R00544,2025-11-19,Shortlisted
A000274,S0273,R00170,2025-12-20,Shortlisted
A000275,S0053,R00314,2025-12-14,Offer Accepted
A000276,S0128,R00300,2025-09-27,Offer Accepted
A000277,S0099,R00546,2025-10-12,Applied
A000278,S0086,R00033,2025-11-16,Shortlisted
A000279,S0098,R00500,2025-09-19,Interview Scheduled
A000280,S0110,R00081,2025-10-03,Offer Accepted
A000281,S0235,R00173,2025-11-16,Interview Scheduled
A000282,S0035,R00710,2025-11-18,Rejected
A000283,S0292,R00135,2025-12-26,Shortlisted
A000284,S0069,R00269,2026-02-04,Shortlisted
A000285,S0247,R00051,2025-10-27,Shortlisted
A000286,S0120,R00402,2025-09-24,Offer Accepted
A000287,S0220,R00604,2025-10-03,Offer Accepted
A000288,S0020,R00187,2025-12-10,Shortlisted
A000289,S0169,R00105,2025-11-27,Applied
A000290,S0148,R00598,2025-10-09,Shortlisted
A000291,S0277,R00042,2025-12-28,Rejected
A000292,S0312,R00699,2025-08-14,Selected
A000293,S0252,R00053,2026-01-12,Interview Scheduled
A000294,S0065,R00071,2025-09-16,Shortlisted
A000295,S0041,R00342,2025-09-17,Selected
A000296,S0091,R00487,2025-10-19,Shortlisted
A000297,S0247,R00061,2025-10-13,Interview Scheduled
A000298,S0217,R00404,2025-08-20,Shortlisted
A000299,S0196,R00343,2025-10-09,Applied
A000300,S0090,R00204,2025-11-16,Shortlisted
A000301,S0247,R00054,2026-01-04,Interview Scheduled
A000302,S0003,R00010,2025-10-30,Shortlisted
A000303,S0213,R00761,2025-10-18,Interview Scheduled
A000304,S0302,R00053,2025-10-11,Applied
A000305,S0224,R00776,2025-11-10,Shortlisted
A000306,S0251,R00508,2025-12-09,Offer Accepted
A000307,S0125,R00383,2025-12-24,Interview Scheduled
A000308,S0076,R00208,2025-10-10,Shortlisted
A000309,S0297,R00771,2025-12-27,Offer Declined
A000310,S0197,R00318,2025-12-23,Rejected
A000311,S0085,R00666,2025-12-22,Interview Scheduled
A000312,S0196,R00471,2026-01-17,Shortlisted
A000313,S0056,R00508,2025-09-19,Interview Scheduled
A000314,S0108,R00750,2025-12-09,Interview Scheduled
A000315,S0001,R00075,2025-11-28,Interview Scheduled
A000316,S0221,R00134,2025-10-15,Shortlisted
A000317,S0258,R00768,2025-09-12,Shortlisted
A000318,S0094,R00648,2025-11-02,Shortlisted
A000319,S0056,R00696,2025-09-19,Interview Scheduled
A000320,S0033,R00275,2026-01-02,Shortlisted
A000321,S0005,R00048,2025-08-30,Offer Accepted
A000322,S0268,R00633,2026-01-18,Shortlisted
A000323,S0243,R00604,2026-01-20,Interview Scheduled
A000324,S0162,R00654,2025-11-22,Shortlisted
A000325,S0183,R00699,2025-12-07,Offer Declined
A000326,S0072,R00021,2026-01-01,Shortlisted
A000327,S0128,R00296,2025-11-11,Shortlisted
A000328,S0097,R00002,2025-11-14,Applied
A000329,S0024,R00787,2025-11-01,Shortlisted
A000330,S0205,R00591,2026-02-10,Interview Scheduled
A000331,S0052,R00588,2025-12-21,Selected
A000332,S0293,R00627,2025-09-23,Offer Accepted
A000333,S0281,R00800,2025-11-29,Rejected
A000334,S0124,R00191,2025-10-09,Rejected
A000335,S0015,R00127,2025-11-19,Rejected
A000336,S0244,R00771,2025-12-19,Shortlisted
A000337,S0252,R00071,2026-01-03,Shortlisted
A000338,S0308,R00050,2025-11-18,Rejected
A000339,S0288,R00785,2025-09-18,Selected
A000340,S0045,R00086,2025-11-24,Shortlisted
A000341,S0060,R00459,2025-11-18,Shortlisted
A000342,S0001,R00249,2026-02-05,Selected
A000343,S0164,R00616,2025-10-20,Shortlisted
A000344,S0309,R00475,2025-09-23,Offer Declined
A000345,S0152,R00671,2025-11-02,Shortlisted
A000346,S0018,R00481,2025-12-12,Applied
A000347,S0111,R00396,2025-09-25,Shortlisted
A000348,S0108,R00678,2025-09-10,Interview Scheduled
A000349,S0092,R00686,2026-01-24,Interview Scheduled
A000350,S0082,R00804,2025-11-30,Shortlisted
A000351,S0179,R00605,2025-10-15,Shortlisted
A000352,S0100,R00562,2026-01-16,Offer Accepted
A000353,S0028,R00680,2025-10-28,Interview Scheduled
A000354,S0227,R00559,2025-12-06,Selected
A000355,S0101,R00589,2026-01-05,Rejected
A000356,S0076,R00302,2026-01-07,Shortlisted
A000357,S0050,R00287,2025-12-21,Applied
A000358,S0304,R00346,2025-08-18,Shortlisted
A000359,S0124,R00317,2025-11-08,Shortlisted
A000360,S0193,R00619,2025-12-01,Shortlisted
A000361,S0196,R00218,2025-09-02,Interview Scheduled
A000362,S0063,R00392,2025-10-29,Shortlisted
A000363,S0294,R00384,2025-11-07,Offer Accepted
A000364,S0223,R00237,2026-01-24,Interview Scheduled
A000365,S0276,R00143,2026-01-05,Offer Accepted
A000366,S0272,R00392,2026-01-09,Shortlisted
A000367,S0064,R00600,2025-09-10,Shortlisted
A000368,S0307,R00559,2025-09-19,Shortlisted
A000369,S0066,R00462,2025-08-28,Offer Accepted
A000370,S0064,R00404,2026-02-04,Shortlisted
A000371,S0001,R00195,2025-11-28,Rejected
A000372,S0228,R00110,2025-11-21,Interview Scheduled
A000373,S0262,R00164,2025-09-05,Applied
A000374,S0111,R00776,2025-10-14,Interview Scheduled
A000375,S0217,R00056,2025-10-04,Shortlisted
A000376,S0043,R00764,2025-08-26,Applied
A000377,S0138,R00808,2025-11-16,Selected
A000378,S0262,R00487,2025-10-27,Offer Declined
A000379,S0310,R00195,2025-12-09,Shortlisted
A000380,S0034,R00266,2025-12-21,Rejected
A000381,S0116,R00216,2025-12-02,Applied
A000382,S0064,R00137,2025-09-13,Interview Scheduled
A000383,S0179,R00562,2025-09-25,Interview Scheduled
A000384,S0025,R00134,2025-12-21,Interview Scheduled
A000385,S0273,R00441,2025-10-03,Interview Scheduled
A000386,S0005,R00553,2025-10-02,Shortlisted
A000387,S0137,R00041,2026-01-04,Shortlisted
A000388,S0312,R00336,2025-12-19,Shortlisted
A000389,S0258,R00226,2026-01-19,Shortlisted
A000390,S0118,R00243,2025-12-15,Shortlisted
A000391,S0047,R00508,2025-09-08,Interview Scheduled
A000392,S0030,R00066,2026-01-22,Rejected
A000393,S0218,R00543,2025-11-11,Selected
A000394,S0273,R00561,2025-08-16,Shortlisted
A000395,S0218,R00563,2025-12-22,Interview Scheduled
A000396,S0271,R00550,2025-11-12,Shortlisted
A000397,S0269,R00724,2025-10-19,Shortlisted
A000398,S0027,R00339,2025-09-27,Shortlisted
A000399,S0128,R00667,2025-10-17,Shortlisted
A000400,S0151,R00211,2026-01-17,Rejected
A000401,S0264,R00661,2026-01-13,Shortlisted
A000402,S0030,R00287,2025-09-16,Interview Scheduled
A000403,S0180,R00714,2025-10-08,Interview Scheduled
A000404,S0102,R00066,2026-01-03,Selected
A000405,S0004,R00123,2025-10-26,Selected
A000406,S0187,R00343,2025-11-28,Applied
A000407,S0225,R00128,2026-01-05,Shortlisted
A000408,S0102,R00085,2026-01-09,Offer Accepted
A000409,S0083,R00533,2025-09-18,Shortlisted
A000410,S0251,R00440,2025-12-11,Shortlisted
A000411,S0205,R00401,2026-01-20,Rejected
A000412,S0011,R00099,2025-11-12,Offer Declined
A000413,S0176,R00344,2025-11-07,Offer Accepted
A000414,S0220,R00195,2025-09-20,Shortlisted
A000415,S0059,R00693,2025-10-03,Interview Scheduled
A000416,S0053,R00562,2025-12-18,Offer Declined
A000417,S0077,R00181,2025-10-08,Offer Declined
A000418,S0103,R00071,2025-12-04,Interview Scheduled
A000419,S0119,R00174,2025-09-23,Offer Accepted
A000420,S0138,R00293,2025-09-25,Shortlisted
A000421,S0025,R00140,2025-10-05,Shortlisted
A000422,S0242,R00220,2026-01-23,Interview Scheduled
A000423,S0058,R00075,2025-09-26,Shortlisted
A000424,S0186,R00594,2025-11-08,Shortlisted
A000425,S0108,R00469,2025-12-31,Selected
A000426,S0062,R00032,2025-09-11,Shortlisted
A000427,S0229,R00746,2025-10-17,Shortlisted
A000428,S0243,R00802,2025-09-03,Shortlisted
A000429,S0215,R00440,2026-02-09,Rejected
A000430,S0188,R00360,2025-10-15,Shortlisted
A000431,S0269,R00751,2026-02-07,Offer Accepted
A000432,S0149,R00034,2026-01-09,Rejected
A000433,S0254,R00551,2025-11-18,Applied
A000434,S0200,R00320,2025-10-27,Selected
A000435,S0304,R00560,2025-11-09,Shortlisted
A000436,S0269,R00206,2025-11-15,Interview Scheduled
A000437,S0088,R00175,2025-10-07,Interview Scheduled
A000438,S0143,R00747,2026-02-11,Shortlisted
A000439,S0108,R00428,2026-02-08,Shortlisted
A000440,S0167,R00064,2025-10-04,Shortlisted
A000441,S0314,R00234,2025-12-10,Shortlisted
A000442,S0113,R00586,2025-10-22,Interview Scheduled
A000443,S0299,R00082,2025-10-29,Interview Scheduled
A000444,S0310,R00440,2025-10-03,Selected
A000445,S0203,R00123,2025-09-24,Shortlisted
A000446,S0246,R00073,2025-09-11,Interview Scheduled
A000447,S0252,R00763,2025-09-27,Interview Scheduled
A000448,S0091,R00654,2025-08-26,Interview Scheduled
A000449,S0126,R00365,2025-12-07,Interview Scheduled
A000450,S0007,R00486,2026-01-29,Offer Declined
A000451,S0068,R00195,2025-12-15,Selected
A000452,S0005,R00777,2025-09-21,Applied
A000453,S0072,R00385,2025-09-23,Interview Scheduled
A000454,S0246,R00122,2025-08-14,Rejected
A000455,S0023,R00079,2025-09-23,Shortlisted
A000456,S0115,R00019,2026-01-06,Offer Accepted
A000457,S0197,R00553,2025-09-14,Rejected
A000458,S0145,R00287,2025-12-29,Offer Declined
A000459,S0310,R00119,2025-11-13,Interview Scheduled
A000460,S0077,R00716,2025-10-23,Shortlisted
A000461,S0054,R00215,2025-12-21,Interview Scheduled
A000462,S0040,R00630,2025-09-25,Rejected
A000463,S0200,R00358,2025-09-01,Shortlisted
A000464,S0219,R00778,2025-11-29,Offer Declined
A000465,S0181,R00256,2025-11-10,Rejected
A000466,S0126,R00308,2025-11-13,Interview Scheduled
A000467,S0118,R00308,2026-01-04,Interview Scheduled
A000468,S0113,R00564,2025-09-30,Offer Declined
A000469,S0243,R00777,2025-09-22,Offer Accepted
A000470,S0074,R00670,2025-10-09,Shortlisted
A000471,S0115,R00043,2025-10-06,Shortlisted
A000472,S0014,R00559,2025-09-17,Offer Accepted
A000473,S0305,R00697,2025-09-17,Interview Scheduled
A000474,S0007,R00455,2025-10-13,Selected
A000475,S0072,R00597,2025-12-07,Interview Scheduled
A000476,S0228,R00624,2025-08-24,Interview Scheduled
A000477,S0017,R00486,2025-12-25,Selected
A000478,S0233,R00443,2025-10-24,Rejected
A000479,S0081,R00215,2025-11-24,Interview Scheduled
A000480,S0206,R00495,2026-02-10,Interview Scheduled
A000481,S0310,R00674,2025-11-27,Interview Scheduled
A000482,S0208,R00663,2025-09-19,Rejected
A000483,S0054,R00058,2025-09-16,Shortlisted
A000484,S0084,R00433,2025-10-01,Shortlisted
A000485,S0104,R00510,2025-12-11,Shortlisted
A000486,S0289,R00800,2025-08-14,Offer Accepted
A000487,S0183,R00599,2025-12-12,Shortlisted
A000488,S0183,R00790,2025-12-04,Offer Accepted
A000489,S0258,R00647,2025-11-06,Shortlisted
A000490,S0020,R00229,2025-09-23,Shortlisted
A000491,S0119,R00709,2025-10-10,Shortlisted
A000492,S0257,R00414,2025-11-03,Shortlisted
A000493,S0068,R00274,2025-08-29,Shortlisted
A000494,S0199,R00188,2025-10-26,Shortlisted
A000495,S0255,R00075,2025-10-17,Applied
A000496,S0233,R00251,2025-10-24,Offer Accepted
A000497,S0037,R00139,2026-02-05,Interview Scheduled
A000498,S0227,R00521,2025-12-02,Selected
A000499,S0187,R00688,2025-10-09,Rejected
A000500,S0263,R00676,2025-11-22,Interview Scheduled
A000501,S0231,R00209,2026-02-10,Shortlisted
A000502,S0030,R00593,2025-09-07,Shortlisted
A000503,S0054,R00230,2025-09-14,Interview Scheduled
A000504,S0237,R00535,2026-01-22,Shortlisted
A000505,S0239,R00084,2025-12-14,Offer Declined
A000506,S0103,R00321,2025-12-02,Interview Scheduled
A000507,S0244,R00088,2025-09-23,Shortlisted
A000508,S0110,R00257,2025-09-05,Shortlisted
A000509,S0186,R00631,2025-12-21,Interview Scheduled
A000510,S0217,R00214,2025-09-10,Offer Accepted
A000511,S0232,R00698,2025-09-30,Shortlisted
A000512,S0028,R00072,2025-09-27,Interview Scheduled
A000513,S0179,R00762,2026-01-23,Shortlisted
A000514,S0224,R00286,2025-10-25,Interview Scheduled
A000515,S0306,R00154,2025-09-25,Shortlisted
A000516,S0163,R00012,2026-01-01,Shortlisted
A000517,S0059,R00633,2025-08-11,Interview Scheduled
A000518,S0231,R00763,2026-02-07,Shortlisted
A000519,S0050,R00030,2025-12-09,Selected
A000520,S0086,R00484,2026-01-27,Interview Scheduled
A000521,S0296,R00774,2026-01-08,Interview Scheduled
A000522,S0258,R00655,2025-10-31,Shortlisted
A000523,S0181,R00284,2025-09-17,Shortlisted
A000524,S0091,R00368,2025-10-23,Shortlisted
A000525,S0196,R00225,2025-11-02,Shortlisted
A000526,S0051,R00808,2026-01-28,Offer Accepted
A000527,S0054,R00397,2025-11-05,Shortlisted
A000528,S0258,R00466,2025-10-05,Interview Scheduled
A000529,S0233,R00441,2026-01-30,Rejected
A000530,S0238,R00331,2025-11-20,Shortlisted
A000531,S0192,R00625,2025-10-30,Interview Scheduled
A000532,S0213,R00540,2025-09-06,Applied
A000533,S0192,R00673,2025-10-21,Shortlisted
A000534,S0293,R00806,2025-11-19,Applied
A000535,S0027,R00641,2025-11-19,Selected
A000536,S0089,R00323,2025-08-30,Selected
